log_downloads,maintainer_count,age_days,days_since_update,vuln_count,malware_reports,verified_flags,has_install_script,install_script_kb,has_preinstall,has_postinstall,maintainer_change_count,maintainer_velocity,domain_age_days,executable_binary_count,network_code_files,log_total_files,entropy_max_file,dependency_delta,log_version_count,days_between_versions,log_stars,log_forks,namespace_age_days,download_star_anomaly,label
16.184012,9.000000,5422.122928,0.056234,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.442540,129.795749,0.000000,0.000000,5422.122928,0.000000,0.000000
1.386294,1.000000,794.352746,794.352725,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.693147,30.000000,0.000000,0.000000,794.352746,0.000000,1.000000
18.384418,1.000000,4289.772882,420.115727,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.375278,28.723039,0.000000,0.000000,4289.772882,0.000000,0.000000
9.249850,1.000000,3153.656041,1095.863502,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.609438,0.368792,0.000000,0.000000,3153.656041,0.000000,1.000000
18.037690,6.000000,4409.300501,29.880209,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.727388,115.486884,0.000000,0.000000,4409.300501,0.000000,0.000000
8.536015,1.000000,2343.261105,1397.056238,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.693147,30.000000,0.000000,0.000000,2343.261105,0.000000,0.000000
7.597396,1.000000,3153.543119,1409.699134,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.386294,0.553198,0.000000,0.000000,3153.543119,0.000000,1.000000
18.121162,1.000000,3008.005898,16.910000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.761200,65.878018,0.000000,0.000000,3008.005898,0.000000,0.000000
19.602666,4.000000,4452.932616,297.214930,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.637586,365.000000,0.000000,0.000000,4452.932616,0.000000,0.000000
16.692646,1.000000,1798.175828,28.142032,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,4.890349,14.993429,0.000000,0.000000,1798.175828,0.000000,0.000000
